sku,sku_description,price,weight_lb,length_in,width_in,height_in,department,popularity
SKU000001,sku_description_1,301.51,53.91,45.6,17.0,16.3,Dept_5,1.9316858409732693e-05
SKU000002,sku_description_2,760.72,5.1,5.1,10.4,36.5,Dept_25,9.600819410505829e-07
SKU000003,sku_description_3,586.4,115.71,60.9,50.6,3.0,Dept_1,2.1407695882528376e-05
SKU000004,sku_description_4,480.13,167.01,81.9,29.4,16.2,Dept_14,4.10678617062246e-06
SKU000005,sku_description_5,127.35,198.05,79.0,5.9,38.2,Dept_25,0.0003106231060824219
SKU000006,sku_description_6,127.33,169.34,8.5,33.4,27.2,Dept_19,7.000133804061213e-06
SKU000007,sku_description_7,49.29,110.84,54.0,58.8,2.2,Dept_23,2.1984558054742247e-08
SKU000008,sku_description_8,693.34,121.78,11.1,48.7,36.0,Dept_25,6.315269801649537e-05
SKU000009,sku_description_9,482.09,164.85,6.7,34.3,50.2,Dept_17,6.8028422541216344e-06
SKU000010,sku_description_10,567.33,4.06,55.7,57.1,1.1,Dept_17,8.901741963391553e-06
SKU000011,sku_description_11,19.41,190.33,52.4,48.5,41.7,Dept_25,5.027656141057159e-07
SKU000012,sku_description_12,776.02,106.29,10.3,28.0,14.1,Dept_15,6.546732189470309e-06
SKU000013,sku_description_13,666.46,190.42,33.7,29.3,7.2,Dept_1,4.36927985267204e-06
SKU000014,sku_description_14,172.23,152.93,29.9,55.8,32.7,Dept_11,4.4778990203253056e-05
SKU000015,sku_description_15,147.91,30.55,32.1,4.6,38.5,Dept_12,3.553372998897056e-05
SKU000016,sku_description_16,149.17,33.14,31.3,21.0,4.3,Dept_11,5.77749614801504e-06
SKU000017,sku_description_17,245.48,70.79,74.6,27.5,3.1,Dept_13,2.1559995170867274e-05
SKU000018,sku_description_18,421.23,52.87,33.1,13.7,51.0,Dept_24,5.856938486605729e-06
SKU000019,sku_description_19,347.26,87.92,31.1,12.3,4.9,Dept_19,5.600883833859823e-05
SKU000020,sku_description_20,235.11,120.82,4.6,31.1,2.6,Dept_1,1.3175090379831105e-05
SKU000021,sku_description_21,490.65,87.37,71.6,36.0,18.4,Dept_1,1.3959112052370163e-05
SKU000022,sku_description_22,114.18,11.38,60.1,28.6,48.0,Dept_23,1.5814532395397365e-05
SKU000023,sku_description_23,235.84,195.13,32.0,25.6,36.2,Dept_5,8.86835452220297e-06
SKU000024,sku_description_24,294.99,85.08,41.8,42.9,48.1,Dept_17,6.292588840523826e-06
SKU000025,sku_description_25,366.49,170.23,71.9,45.0,5.1,Dept_1,1.6746288147052057e-06
SKU000026,sku_description_26,628.79,14.88,32.3,12.1,27.1,Dept_19,2.0558069575637036e-05
SKU000027,sku_description_27,162.14,162.03,43.7,5.8,43.4,Dept_8,3.5244212335564697e-06
SKU000028,sku_description_28,412.84,34.76,3.7,5.8,43.0,Dept_2,0.0002954114052103224
SKU000029,sku_description_29,475.15,135.91,82.8,44.6,41.9,Dept_6,7.68792258464653e-06
SKU000030,sku_description_30,40.02,132.4,34.7,2.9,53.6,Dept_1,9.586644649489737e-08
SKU000031,sku_description_31,487.21,181.97,28.1,58.6,17.5,Dept_25,4.931892973455646e-06
SKU000032,sku_description_32,138.91,64.2,55.6,42.9,10.0,Dept_2,6.42905200761163e-06
SKU000033,sku_description_33,54.85,21.88,48.3,36.6,13.3,Dept_23,6.994300767690071e-06
SKU000034,sku_description_34,759.26,172.93,37.3,3.9,24.7,Dept_9,9.821403290339066e-05
SKU000035,sku_description_35,772.61,66.38,83.2,3.8,11.1,Dept_16,1.3269119851377428e-05
SKU000036,sku_description_36,647.29,46.58,33.9,28.5,53.1,Dept_6,1.7440753950799866e-05
SKU000037,sku_description_37,245.78,97.29,89.9,24.2,25.0,Dept_10,1.144026753927451e-05
SKU000038,sku_description_38,80.84,29.31,71.4,18.8,58.3,Dept_13,1.71528332557476e-05
SKU000039,sku_description_39,548.33,59.46,81.5,9.5,49.4,Dept_10,1.140274289105213e-06
SKU000040,sku_description_40,353.8,77.12,26.9,17.8,33.4,Dept_8,4.8128227375238935e-05
SKU000041,sku_description_41,100.26,55.52,8.2,38.8,29.3,Dept_20,8.95152596782324e-06
SKU000042,sku_description_42,397.66,90.11,38.9,25.1,17.2,Dept_7,1.8018523023383903e-05
SKU000043,sku_description_43,30.41,76.99,29.6,20.1,51.7,Dept_17,2.1134357954568499e-07
SKU000044,sku_description_44,727.73,154.94,7.3,55.6,23.3,Dept_16,4.832122552653958e-06
SKU000045,sku_description_45,209.25,183.69,8.3,21.3,30.2,Dept_7,6.470323491337463e-06
SKU000046,sku_description_46,531.03,20.27,17.3,54.8,10.5,Dept_5,9.259245027641307e-06
SKU000047,sku_description_47,251.43,164.68,35.2,6.7,4.9,Dept_21,3.6267360785734063e-06
SKU000048,sku_description_48,417.49,186.36,84.3,49.9,23.7,Dept_12,1.6883418251259282e-06
SKU000049,sku_description_49,438.73,137.35,59.9,31.7,22.0,Dept_11,1.3720894841492412e-06
SKU000050,sku_description_50,150.33,199.28,37.1,31.6,57.9,Dept_3,2.143646390546992e-05
SKU000051,sku_description_51,775.76,67.08,72.3,36.6,16.8,Dept_9,4.209957620225952e-05
SKU000052,sku_description_52,620.78,166.08,52.0,40.5,17.8,Dept_16,7.549284408934697e-06
SKU000053,sku_description_53,751.78,134.77,38.7,49.5,31.4,Dept_18,1.3424662161892895e-05
SKU000054,sku_description_54,716.18,64.75,14.7,5.1,11.0,Dept_7,6.364513054237349e-06
SKU000055,sku_description_55,479.53,140.96,83.6,20.2,56.5,Dept_24,2.9729927950544794e-06
SKU000056,sku_description_56,737.73,101.97,56.9,28.9,57.2,Dept_7,3.0543072518322665e-06
SKU000057,sku_description_57,73.53,37.88,40.7,57.9,9.6,Dept_22,2.5702137305083566e-06
SKU000058,sku_description_58,159.2,34.86,40.6,5.5,32.9,Dept_10,1.0799972309070976e-05
SKU000059,sku_description_59,39.05,142.71,69.3,24.9,17.9,Dept_7,4.3526533416289456e-06
SKU000060,sku_description_60,262.29,142.41,17.8,47.4,40.6,Dept_7,2.8678353659043302e-06
SKU000061,sku_description_61,312.78,106.2,38.7,56.0,43.6,Dept_25,3.1300333647229164e-06
SKU000062,sku_description_62,219.27,100.33,7.5,48.7,9.3,Dept_9,2.2482768857701426e-05
SKU000063,sku_description_63,663.5,36.09,9.0,58.7,41.2,Dept_3,4.831009346000061e-06
SKU000064,sku_description_64,287.33,85.91,48.3,32.6,40.9,Dept_21,1.293527878997645e-06
SKU000065,sku_description_65,226.9,174.29,35.5,44.2,21.4,Dept_1,2.730043314186091e-05
SKU000066,sku_description_66,435.53,170.96,65.3,53.1,33.4,Dept_14,1.826994609273064e-05
SKU000067,sku_description_67,115.32,132.22,88.8,26.0,9.8,Dept_25,0.00023125862404074445
SKU000068,sku_description_68,642.35,199.47,77.6,6.7,27.9,Dept_19,1.3666342892813782e-05
SKU000069,sku_description_69,62.42,178.65,40.9,5.2,21.0,Dept_2,6.852347038008177e-06
SKU000070,sku_description_70,789.55,29.13,35.3,55.5,31.6,Dept_24,2.462345106579627e-06
SKU000071,sku_description_71,618.48,79.89,53.5,2.1,11.8,Dept_25,2.6263929419529493e-05
SKU000072,sku_description_72,161.38,26.47,10.1,20.4,18.2,Dept_11,9.963562463403455e-07
SKU000073,sku_description_73,7.4,93.27,88.9,51.3,34.2,Dept_16,2.6695631174724845e-06
SKU000074,sku_description_74,652.92,155.3,88.3,25.1,59.3,Dept_2,3.593528982151797e-06
SKU000075,sku_description_75,566.37,31.24,83.2,13.4,27.6,Dept_23,2.2379545975584005e-06
SKU000076,sku_description_76,584.02,176.1,60.3,9.6,21.5,Dept_25,1.2540150763616869e-05
SKU000077,sku_description_77,617.7,113.85,46.3,4.0,11.6,Dept_13,9.117471613699097e-06
SKU000078,sku_description_78,62.01,149.81,64.2,39.5,40.4,Dept_10,2.6111223357452733e-05
SKU000079,sku_description_79,288.7,9.13,29.7,20.9,36.3,Dept_14,0.0004261011955199673
SKU000080,sku_description_80,95.35,18.86,77.0,2.7,35.2,Dept_6,1.171054677416859e-06
SKU000081,sku_description_81,690.89,124.21,13.8,6.8,3.1,Dept_1,1.240755762318668e-05
SKU000082,sku_description_82,499.77,167.65,72.7,51.4,43.8,Dept_1,5.660112838614531e-06
SKU000083,sku_description_83,266.73,174.79,78.3,9.2,33.9,Dept_17,1.6892359090727812e-05
SKU000084,sku_description_84,53.66,137.71,17.0,30.9,4.1,Dept_16,2.227356772522154e-05
SKU000085,sku_description_85,250.85,40.27,44.1,22.1,33.1,Dept_10,7.799679969178105e-06
SKU000086,sku_description_86,262.17,39.08,80.5,13.8,41.3,Dept_9,5.2052727024029414e-05
SKU000087,sku_description_87,584.5,176.28,86.4,9.2,8.3,Dept_9,6.499844238931407e-06
SKU000088,sku_description_88,511.13,22.74,73.4,39.1,56.5,Dept_3,2.135445064229643e-05
SKU000089,sku_description_89,710.11,137.25,84.8,52.8,50.7,Dept_24,4.088928303349605e-05
SKU000090,sku_description_90,379.36,106.75,84.5,36.9,2.3,Dept_7,1.0512505130893575e-05
SKU000091,sku_description_91,98.32,84.34,88.2,23.8,11.5,Dept_5,4.255661502157478e-05
SKU000092,sku_description_92,571.46,88.12,38.4,19.8,40.2,Dept_22,8.542858458806806e-06
SKU000093,sku_description_93,609.35,189.05,27.3,23.0,11.8,Dept_8,6.759343756805261e-05
SKU000094,sku_description_94,450.34,172.3,57.7,23.2,47.0,Dept_20,1.0639299422839663e-05
SKU000095,sku_description_95,617.46,173.01,18.6,31.6,19.2,Dept_21,9.718106303631443e-06
SKU000096,sku_description_96,396.56,81.38,51.0,23.3,51.7,Dept_11,2.491956855365189e-06
SKU000097,sku_description_97,419.62,21.49,53.0,36.0,5.4,Dept_6,7.751272129978446e-06
SKU000098,sku_description_98,343.75,199.57,73.0,8.1,25.3,Dept_12,1.972315736609797e-05
SKU000099,sku_description_99,23.26,29.15,33.8,18.0,56.9,Dept_16,5.171214278298553e-05
SKU000100,sku_description_100,88.99,103.16,55.0,43.9,13.8,Dept_16,2.7569218094840615e-05
SKU000101,sku_description_101,28.05,53.0,81.5,46.0,33.0,Dept_10,1.4847910471116792e-05
SKU000102,sku_description_102,510.22,102.2,39.1,41.2,15.3,Dept_14,1.1207586138801493e-05
SKU000103,sku_description_103,253.54,61.06,52.3,21.8,21.0,Dept_5,2.275065202217983e-05
SKU000104,sku_description_104,408.33,179.39,71.3,27.9,5.5,Dept_5,7.143792230349918e-07
SKU000105,sku_description_105,726.33,193.67,24.0,12.6,2.2,Dept_2,6.37825646467877e-06
SKU000106,sku_description_106,201.69,82.07,11.1,58.0,9.1,Dept_8,7.517685360537092e-06
SKU000107,sku_description_107,330.08,14.13,62.0,52.5,17.8,Dept_9,4.846442921968736e-07
SKU000108,sku_description_108,605.17,132.7,34.6,56.6,41.0,Dept_4,3.0844461681349872e-06
SKU000109,sku_description_109,185.35,75.39,35.6,35.0,39.4,Dept_1,1.6209076573469673e-06
SKU000110,sku_description_110,64.35,197.2,83.8,29.0,30.9,Dept_10,1.252848297425671e-05
SKU000111,sku_description_111,233.93,17.97,37.9,52.4,26.7,Dept_8,2.312869129363861e-05
SKU000112,sku_description_112,131.49,23.91,85.9,25.7,29.1,Dept_8,1.3052464847508559e-05
SKU000113,sku_description_113,743.97,139.91,11.4,17.6,32.6,Dept_11,4.9284155349928537e-05
SKU000114,sku_description_114,647.07,151.75,32.2,31.1,41.6,Dept_8,1.6418156851831963e-05
SKU000115,sku_description_115,507.82,94.27,63.0,11.8,43.4,Dept_21,1.4417208448450349e-05
SKU000116,sku_description_116,697.55,55.53,13.1,46.6,53.2,Dept_22,2.476542089294948e-06
SKU000117,sku_description_117,643.53,62.03,36.1,27.6,22.5,Dept_6,4.039124898506651e-05
SKU000118,sku_description_118,151.7,67.66,77.0,40.0,12.7,Dept_8,3.1975565131621007e-06
SKU000119,sku_description_119,714.37,45.13,69.0,35.9,22.6,Dept_5,2.2477048330211054e-05
SKU000120,sku_description_120,432.86,170.14,26.8,35.9,30.3,Dept_11,4.045185982319012e-06
SKU000121,sku_description_121,646.53,13.11,33.4,56.0,33.3,Dept_18,1.1591475747302277e-05
SKU000122,sku_description_122,717.18,81.51,46.4,5.2,50.5,Dept_19,1.176372211624269e-06
SKU000123,sku_description_123,256.45,149.55,66.4,37.6,10.0,Dept_15,0.00018199288881448803
SKU000124,sku_description_124,90.71,0.86,15.4,17.2,43.4,Dept_4,5.3152476628144154e-05
SKU000125,sku_description_125,184.66,175.62,48.4,9.2,33.6,Dept_4,1.5601553715661849e-06
SKU000126,sku_description_126,343.4,141.29,8.5,5.2,28.2,Dept_12,2.1222863141717463e-07
SKU000127,sku_description_127,654.96,14.77,37.0,50.1,52.9,Dept_15,7.84090836112897e-07
SKU000128,sku_description_128,689.0,179.01,18.8,25.1,33.4,Dept_25,9.83824122699483e-07
SKU000129,sku_description_129,8.54,97.51,29.2,42.5,49.7,Dept_18,1.8854819610530354e-05
SKU000130,sku_description_130,410.07,130.48,31.2,56.1,46.7,Dept_5,6.9585540669853464e-06
SKU000131,sku_description_131,335.68,176.42,69.8,51.6,20.2,Dept_23,1.8735392498594396e-05
SKU000132,sku_description_132,180.02,176.24,25.3,16.0,38.9,Dept_10,3.4863222436469995e-05
SKU000133,sku_description_133,98.53,81.81,60.4,38.8,23.3,Dept_16,1.923237843383425e-05
SKU000134,sku_description_134,272.08,47.61,48.9,19.3,25.0,Dept_6,2.5622765168448e-05
SKU000135,sku_description_135,754.5,51.56,72.8,4.8,53.5,Dept_21,3.1999493837720914e-06
SKU000136,sku_description_136,260.59,153.21,30.3,54.7,20.9,Dept_24,1.2240003804604413e-05
SKU000137,sku_description_137,416.48,185.89,89.5,42.9,55.0,Dept_13,8.68684449992247e-05
SKU000138,sku_description_138,563.31,14.54,28.0,50.4,50.3,Dept_17,3.255776426755098e-07
SKU000139,sku_description_139,292.81,3.1,53.0,17.8,58.3,Dept_5,2.790043592106418e-07
SKU000140,sku_description_140,777.51,164.6,57.6,18.2,10.2,Dept_16,6.00606909242187e-06
SKU000141,sku_description_141,770.07,77.38,49.4,13.9,6.7,Dept_21,9.881773784051418e-06
SKU000142,sku_description_142,203.67,55.36,77.6,18.5,3.1,Dept_18,1.0558781730666617e-05
SKU000143,sku_description_143,399.31,37.76,11.9,8.1,56.0,Dept_23,3.1222666624282397e-06
SKU000144,sku_description_144,242.8,69.36,54.6,44.5,1.1,Dept_14,9.267282161379471e-05
SKU000145,sku_description_145,230.02,194.3,46.6,58.3,1.5,Dept_13,8.838789104682016e-06
SKU000146,sku_description_146,32.4,195.42,38.7,54.7,14.8,Dept_8,8.099216878760061e-06
SKU000147,sku_description_147,488.82,66.37,32.5,10.5,37.5,Dept_4,4.406101059241692e-06
SKU000148,sku_description_148,403.64,192.74,15.5,14.2,5.8,Dept_22,1.0418261079973171e-05
SKU000149,sku_description_149,44.03,60.04,59.2,22.9,28.5,Dept_7,0.00011178106347563693
SKU000150,sku_description_150,225.08,170.91,12.4,13.6,31.1,Dept_6,2.206188616071481e-05
SKU000151,sku_description_151,726.89,42.48,75.0,41.8,37.6,Dept_25,2.3775355001448877e-05
SKU000152,sku_description_152,193.93,165.31,41.4,45.3,31.3,Dept_20,6.65804981806358e-06
SKU000153,sku_description_153,118.48,70.81,55.3,45.9,60.0,Dept_7,1.0217003052555526e-06
SKU000154,sku_description_154,393.09,39.23,8.8,35.8,46.8,Dept_15,1.0582021000519603e-05
SKU000155,sku_description_155,788.56,186.96,10.2,16.7,13.4,Dept_8,1.683016028647903e-05
SKU000156,sku_description_156,195.92,42.92,22.8,9.0,9.4,Dept_20,8.022484730454755e-05
SKU000157,sku_description_157,538.69,198.37,70.6,30.3,5.5,Dept_4,5.478738804845533e-07
SKU000158,sku_description_158,610.01,21.8,44.8,53.6,13.7,Dept_5,1.0567354932137196e-05
SKU000159,sku_description_159,192.4,2.1,29.4,17.9,1.3,Dept_5,7.212772729284731e-05
SKU000160,sku_description_160,583.39,174.17,76.8,20.9,10.8,Dept_3,1.6374846319150895e-05
SKU000161,sku_description_161,296.12,117.36,18.9,43.6,37.6,Dept_23,6.496313367198081e-07
SKU000162,sku_description_162,506.95,84.38,24.8,21.9,10.2,Dept_24,4.396274900429962e-06
SKU000163,sku_description_163,507.92,16.48,70.4,52.6,25.8,Dept_5,5.842769964610674e-05
SKU000164,sku_description_164,430.01,115.02,4.4,52.2,48.8,Dept_16,1.6005913540547469e-06
SKU000165,sku_description_165,74.96,78.81,21.4,54.2,53.1,Dept_4,1.0190796805444396e-06
SKU000166,sku_description_166,668.74,96.78,47.9,46.7,7.7,Dept_10,5.2698651597323215e-06
SKU000167,sku_description_167,258.66,126.12,82.5,5.4,39.9,Dept_20,3.892955040875813e-06
SKU000168,sku_description_168,151.66,128.02,25.4,32.8,18.8,Dept_5,0.00011920610752754576
SKU000169,sku_description_169,35.5,192.12,20.8,29.6,32.4,Dept_25,2.0548742734268014e-05
SKU000170,sku_description_170,473.94,131.05,87.8,28.8,4.4,Dept_3,3.2865992893387765e-05
SKU000171,sku_description_171,543.02,67.95,48.2,40.0,32.0,Dept_3,2.8603655215592564e-06
SKU000172,sku_description_172,16.22,65.99,7.5,45.6,44.8,Dept_7,6.094085091483597e-06
SKU000173,sku_description_173,411.14,95.48,26.3,33.4,3.1,Dept_18,4.825801165800863e-05
SKU000174,sku_description_174,183.52,51.94,49.0,45.7,52.4,Dept_15,3.378407082332889e-06
SKU000175,sku_description_175,517.2,75.35,8.3,16.1,42.5,Dept_13,2.0639270362618374e-07
SKU000176,sku_description_176,141.97,168.44,62.9,39.2,44.8,Dept_3,2.427858185075023e-05
SKU000177,sku_description_177,553.68,171.97,48.0,37.5,23.3,Dept_14,2.0373487809744485e-05
SKU000178,sku_description_178,311.23,125.6,64.5,21.4,28.5,Dept_6,5.645798782429672e-05
SKU000179,sku_description_179,749.57,116.61,32.1,31.2,25.3,Dept_8,1.2183580449934796e-05
