Tracking Number,Order Number,Recipient Postal Code,Service Description,Ship Date,Delivery Date,Original Weight (Pounds),Shipment Rated Weight (Pounds),Dimmed Height (in),Dimmed Width (in),Dimmed Length (in),Shipment DIM Flag,Net Charge Amount USD
TRK20250000000000,2220005,62116,FedEx Home Delivery,06/25/2025,06/26/2025,61.22,67.18,45.1,12.0,68.6,Y,80.55
TRK20250000000000,2220005,62116,FedEx Home Delivery,06/22/2025,06/26/2025,77.89,83.87,46.5,53.9,77.8,Y,120.76
TRK20250000000000,2220005,62116,FedEx Home Delivery,06/23/2025,06/26/2025,106.87,121.73,13.9,39.0,8.6,Y,131.98
TRK20250000000000,2220005,62116,FedEx Ground Economy,06/24/2025,06/26/2025,98.86,116.96,20.7,38.0,32.8,Y,163.52
TRK20250000000001,2220008,31401,FedEx Ground Economy,09/14/2025,09/21/2025,32.47,35.0,24.5,50.5,69.2,Y,41.56
TRK20250000000001,2220008,31401,FedEx Home Delivery,09/15/2025,09/18/2025,69.55,74.36,47.4,39.2,46.3,Y,66.67
TRK20250000000001,2220008,31401,FedEx Home Delivery,09/11/2025,09/16/2025,120.9,125.65,23.7,11.4,43.6,Y,128.56
TRK20250000000001,2220008,31401,FedEx Home Delivery,09/11/2025,09/13/2025,159.79,173.29,57.8,30.9,78.9,Y,211.52
TRK20250000000001,2220008,31401,FedEx Ground Economy,09/15/2025,09/22/2025,50.16,53.89,53.5,13.0,84.0,Y,49.64
TRK20250000000001,2220008,31401,FedEx Ground Economy,09/11/2025,09/15/2025,195.77,205.64,24.9,54.8,15.6,Y,268.67
TRK20250000000002,2220009,7486,FedEx Ground Economy,03/14/2025,03/21/2025,141.22,155.57,48.8,40.4,75.9,Y,205.47
TRK20250000000003,2220013,96931,FedEx Home Delivery,03/24/2025,03/26/2025,50.63,51.4,35.0,6.6,74.1,Y,82.45
TRK20250000000003,2220013,96931,FedEx Ground Economy,03/26/2025,03/31/2025,110.24,123.19,9.3,42.8,45.0,Y,104.92
TRK20250000000003,2220013,96931,FedEx Home Delivery,03/26/2025,03/31/2025,19.64,21.68,41.8,49.2,37.6,Y,32.15
TRK20250000000003,2220013,96931,FedEx Ground Economy,03/28/2025,03/30/2025,59.58,70.4,53.9,41.9,44.9,Y,57.04
TRK20250000000003,2220013,96931,FedEx Home Delivery,03/26/2025,03/31/2025,27.0,28.62,50.7,29.6,6.7,Y,43.43
TRK20250000000003,2220013,96931,FedEx Ground Economy,03/25/2025,03/31/2025,118.18,133.57,20.2,54.3,24.4,Y,132.56
TRK20250000000004,2220014,89634,FedEx Home Delivery,01/06/2025,01/11/2025,41.4,43.15,58.1,40.3,89.1,Y,66.47
TRK20250000000004,2220014,89634,FedEx Ground Economy,01/07/2025,01/13/2025,178.61,197.24,45.1,24.2,5.9,Y,217.03
TRK20250000000004,2220014,89634,FedEx Home Delivery,01/06/2025,01/08/2025,79.75,93.91,42.6,13.0,7.2,Y,154.39
TRK20250000000004,2220014,89634,FedEx Home Delivery,01/05/2025,01/08/2025,134.49,142.89,27.0,39.2,69.0,Y,178.51
TRK20250000000005,2220015,9754,FedEx Home Delivery,10/21/2025,10/22/2025,143.31,158.57,36.0,53.6,31.7,Y,268.17
TRK20250000000005,2220015,9754,FedEx Ground Economy,10/24/2025,10/27/2025,93.84,107.91,39.2,9.3,65.0,Y,112.01
TRK20250000000005,2220015,9754,FedEx Ground Economy,10/22/2025,10/28/2025,195.0,197.33,4.8,28.9,33.1,Y,202.31
TRK20250000000005,2220015,9754,FedEx Home Delivery,10/25/2025,10/29/2025,112.34,127.43,44.1,44.4,54.1,Y,121.56
TRK20250000000005,2220015,9754,FedEx Home Delivery,10/21/2025,10/24/2025,10.72,11.69,15.6,20.0,16.9,Y,16.12
TRK20250000000006,2220019,75037,FedEx Ground Economy,07/09/2025,07/11/2025,132.45,151.33,13.9,31.3,79.9,Y,124.06
TRK20250000000006,2220019,75037,FedEx Ground Economy,07/09/2025,07/17/2025,31.53,35.12,16.2,45.4,34.0,Y,49.51
TRK20250000000006,2220019,75037,FedEx Home Delivery,07/09/2025,07/14/2025,160.18,187.93,32.4,31.7,13.5,Y,271.67
TRK20250000000006,2220019,75037,FedEx Home Delivery,07/09/2025,07/11/2025,106.7,120.0,25.5,55.4,36.2,Y,176.52
TRK20250000000006,2220019,75037,FedEx Ground Economy,07/07/2025,07/10/2025,23.18,23.73,34.2,56.2,84.5,Y,30.94
TRK20250000000006,2220019,75037,FedEx Home Delivery,07/09/2025,07/14/2025,190.26,212.51,38.6,36.8,84.7,Y,163.49
TRK20250000000006,2220019,75037,FedEx Ground Economy,07/07/2025,07/16/2025,90.58,105.75,5.2,56.9,81.4,Y,145.61
TRK20250000000007,2220020,56689,FedEx Home Delivery,04/02/2025,04/06/2025,189.48,218.03,27.7,58.2,61.0,Y,221.17
TRK20250000000007,2220020,56689,FedEx Home Delivery,03/31/2025,04/02/2025,37.6,38.68,45.0,42.7,89.6,Y,61.53
TRK20250000000007,2220020,56689,FedEx Home Delivery,03/30/2025,04/01/2025,168.68,170.32,27.3,35.2,21.2,Y,239.4
TRK20250000000007,2220020,56689,FedEx Ground Economy,04/02/2025,04/05/2025,25.92,28.22,53.9,45.0,56.3,Y,22.6
TRK20250000000007,2220020,56689,FedEx Ground Economy,04/02/2025,04/09/2025,25.56,29.96,4.5,16.0,46.7,Y,19.82
TRK20250000000007,2220020,56689,FedEx Home Delivery,04/01/2025,04/04/2025,165.42,183.56,26.8,25.5,87.2,Y,263.62
TRK20250000000007,2220020,56689,FedEx Ground Economy,04/02/2025,04/05/2025,169.4,191.69,23.6,21.6,36.6,Y,163.34
TRK20250000000008,2220023,47055,FedEx Home Delivery,10/24/2025,10/26/2025,161.25,186.55,5.2,8.3,87.3,Y,246.2
TRK20250000000008,2220023,47055,FedEx Home Delivery,10/25/2025,10/30/2025,9.24,9.49,44.6,12.5,27.0,Y,10.54
TRK20250000000008,2220023,47055,FedEx Ground Economy,10/22/2025,10/29/2025,94.25,113.09,44.7,31.3,51.7,Y,135.33
TRK20250000000008,2220023,47055,FedEx Home Delivery,10/22/2025,10/27/2025,40.42,42.23,41.6,45.3,15.7,Y,40.65
TRK20250000000008,2220023,47055,FedEx Ground Economy,10/24/2025,10/30/2025,151.09,163.2,11.7,39.5,20.1,Y,189.12
TRK20250000000008,2220023,47055,FedEx Home Delivery,10/24/2025,10/25/2025,152.57,159.71,20.6,13.5,26.3,Y,128.66
