Order Number,SKU,SKU Description,Prime Line Number,orderline_units_sold,Total without tax,Fulfillment Method,Ship Node Description,Order Date,Ship ZIP,Ship Latitude,Ship Longitude,Order line status,Shipment status Ship Date
2000001,SKU021233,sku_description_21233,1,3,1779.21,STH,Store H,02/27/2024,47491,47.76589,-77.29433,Shipped,03/01/2024
2000001,SKU014269,sku_description_14269,2,1,718.93,STH,Store H,02/27/2024,47491,47.76589,-77.29433,Shipped,03/01/2024
2000003,SKU005800,sku_description_5800,1,2,266.98,BOPIS,Store H,05/20/2024,33602,27.9506,-82.4572,Shipped,05/24/2024
2000003,SKU040744,sku_description_40744,2,2,430.38,BOPIS,Store H,05/20/2024,33602,27.9506,-82.4572,Shipped,05/22/2024
2000003,SKU014946,sku_description_14946,3,2,1597.24,BOPIS,Store H,05/20/2024,33602,27.9506,-82.4572,Shipped,05/23/2024
2000003,SKU029707,sku_description_29707,4,1,409.32,BOPIS,Store H,05/20/2024,33602,27.9506,-82.4572,Shipped,05/22/2024
2000004,SKU028541,sku_description_28541,1,2,592.5,BOPIS,Store G,05/05/2024,32202,30.3322,-81.6557,Shipped,05/06/2024
2000004,SKU004734,sku_description_4734,2,3,2229.78,BOPIS,Store G,05/05/2024,32202,30.3322,-81.6557,Shipped,05/09/2024
2000004,SKU005372,sku_description_5372,3,4,1118.12,BOPIS,Store G,05/05/2024,32202,30.3322,-81.6557,Shipped,05/06/2024
2000005,SKU034995,sku_description_34995,1,4,815.88,STH,Store G,04/24/2024,87094,34.285469,-114.890509,Shipped,04/29/2024
2000005,SKU021931,sku_description_21931,2,3,1721.88,STH,Store G,04/24/2024,87094,34.285469,-114.890509,Shipped,04/26/2024
2000005,SKU037646,sku_description_37646,3,2,811.92,STH,Store G,04/24/2024,87094,34.285469,-114.890509,Shipped,04/25/2024
2000006,SKU032791,sku_description_32791,1,4,34.04,STH,Store E,03/12/2024,97105,37.717528,-110.407469,Shipped,03/16/2024
2000006,SKU034484,sku_description_34484,2,3,1621.29,STH,Store E,03/12/2024,97105,37.717528,-110.407469,Shipped,03/14/2024
2000006,SKU026865,sku_description_26865,3,2,1285.74,STH,Store E,03/12/2024,97105,37.717528,-110.407469,Shipped,03/15/2024
2000006,SKU041780,sku_description_41780,4,4,422.2,STH,Store E,03/12/2024,97105,37.717528,-110.407469,Shipped,03/14/2024
2000007,SKU030903,sku_description_30903,1,3,1406.01,STH,Store D,02/22/2024,38123,46.788683,-109.13806,Shipped,02/27/2024
2000008,SKU002406,sku_description_2406,1,4,1943.24,STH,Store I,12/12/2024,53003,44.806518,-99.075393,Shipped,12/13/2024
2000008,SKU003017,sku_description_3017,2,4,2347.84,STH,Store I,12/12/2024,53003,44.806518,-99.075393,Shipped,12/16/2024
2000008,SKU037687,sku_description_37687,3,4,1328.6,STH,Store I,12/12/2024,53003,44.806518,-99.075393,Shipped,12/13/2024
2000008,SKU035629,sku_description_35629,4,4,2529.72,STH,Store I,12/12/2024,53003,44.806518,-99.075393,Shipped,12/15/2024
2000008,SKU012628,sku_description_12628,5,1,731.99,STH,Store I,12/12/2024,53003,44.806518,-99.075393,Shipped,12/14/2024
2000009,SKU004445,sku_description_4445,1,1,329.51,STH,Store A,10/06/2024,29369,32.093023,-120.73843,Shipped,10/10/2024
2000009,SKU012720,sku_description_12720,2,2,99.14,STH,Store A,10/06/2024,29369,32.093023,-120.73843,Shipped,10/07/2024
2000009,SKU006310,sku_description_6310,3,2,1295.22,STH,Store A,10/06/2024,29369,32.093023,-120.73843,Shipped,10/08/2024
2000010,SKU015240,sku_description_15240,1,1,16.82,BOPIS,Store J,02/14/2024,02108,42.3601,-71.0589,Shipped,02/19/2024
2000010,SKU014216,sku_description_14216,2,4,391.68,BOPIS,Store J,02/14/2024,02108,42.3601,-71.0589,Shipped,02/16/2024
2000010,SKU036494,sku_description_36494,3,2,678.04,BOPIS,Store J,02/14/2024,02108,42.3601,-71.0589,Shipped,02/17/2024
2000010,SKU024506,sku_description_24506,4,2,206.28,BOPIS,Store J,02/14/2024,02108,42.3601,-71.0589,Shipped,02/17/2024
2000011,SKU018959,sku_description_18959,1,3,938.7,STH,Store E,10/29/2024,75285,42.150426,-79.393534,Shipped,10/31/2024
